customer_id,age,monthly_spend,visits_per_month,avg_discount_used,distance_from_store_km
1,46,1887,23,58,6.12
2,32,2131,10,38,9.36
3,25,3946,12,59,8.36
4,38,2627,2,51,5.63
5,36,1768,13,28,3.65
6,40,4200,8,58,11.97
7,28,2938,2,26,5.4
8,28,3698,20,9,5.69
9,41,4113,1,37,2.38
10,53,1266,5,40,9.64
11,41,4580,9,51,8.48
12,20,2644,17,24,3.04
13,39,4307,9,23,1.45
14,19,3573,11,39,8.33
15,41,4169,15,56,8.03
16,47,2746,24,47,3.64
17,19,953,6,21,11.43
18,38,2282,23,49,2.24
19,50,2974,3,47,5.47
20,29,3096,17,38,11.35
21,39,4385,5,13,5.33
22,42,975,12,30,7.84
23,44,1825,18,6,5.07
24,45,3269,14,57,3.65
25,33,617,21,13,11.82
26,32,314,24,13,5.21
27,20,816,11,44,10.78
28,54,4174,9,21,3.14
29,24,3467,2,5,2.95
30,38,1025,12,29,0.86
31,26,1716,3,47,7.99
32,35,3346,3,44,4.74
33,21,612,1,46,10.44
34,42,928,8,29,5.94
35,31,3548,22,43,11.63
36,26,3008,8,39,2.63
37,43,875,11,7,10.49
38,19,3665,9,54,9.43
39,37,2704,5,41,9.37
40,45,3167,14,48,10.22
41,24,2986,3,48,9.25
42,25,1322,21,55,7.7
43,52,4279,5,34,2.01
44,31,1771,5,42,0.87
45,34,2343,19,38,11.09
46,53,1887,14,16,7.59
47,21,4332,4,23,9.66
48,19,4051,13,41,6.04
49,23,3640,10,48,1.85
50,21,3966,18,53,1.94
51,46,2526,8,21,8.38
52,35,3114,8,14,5.45
53,43,4152,7,59,2.81
54,51,795,8,53,6.15
55,27,928,14,51,1.24
56,53,1565,19,16,7.19
57,31,4692,6,20,3.59
58,48,898,1,28,9.67
59,32,595,23,23,4.07
60,25,4371,15,12,5.74
61,31,4560,1,35,0.63
62,40,2702,17,25,1.33
63,38,2019,1,21,5.01
64,33,917,15,27,6.02
65,35,2982,23,41,7.4
66,41,3777,2,58,3.85
67,43,343,14,20,8.49
68,42,3340,21,10,10.39
69,46,4691,8,12,9.47
70,32,3138,8,29,0.96
71,18,3836,19,22,6.03
72,42,3422,7,29,1.71
73,24,1367,19,16,3.28
74,26,2816,6,19,11.85
75,41,1262,6,30,2.14
76,18,2356,3,45,6.24
77,25,3182,7,49,7.61
78,41,3494,19,30,8.58
79,28,4929,8,51,6.94
80,34,1356,10,36,0.61
81,25,932,20,14,4.25
82,52,4530,15,20,6.45
83,52,1153,15,11,1.51
84,50,2739,1,21,4.53
85,22,3524,20,27,0.88
86,45,3501,7,30,1.4
87,24,1742,4,25,5.06
88,26,1391,6,26,2.03
89,25,3193,1,11,7.03
90,29,2881,5,18,8.43
91,51,1417,23,19,9.71
92,50,1740,1,57,2.8
93,40,3436,4,11,2.43
94,41,2586,22,13,1.7
95,54,3919,2,55,7.82
96,52,1588,10,52,8.62
97,39,2056,5,12,0.86
98,44,1565,10,54,11.27
99,52,699,1,27,1.1
100,18,1880,22,33,6.72
101,52,710,6,22,8.65
102,54,4512,13,35,10.52
103,31,1524,15,34,8.71
104,20,1355,4,56,9.72
105,18,2027,13,43,4.4
106,22,3341,24,39,9.87
107,43,3686,20,22,1.42
108,31,2010,24,46,10.79
109,44,3123,15,43,6.8
110,26,2414,8,21,9.9
111,32,4386,5,18,5.7
112,32,913,15,35,7.9
113,43,3802,4,28,6.55
114,30,4334,12,39,8.91
115,49,3722,13,48,1.44
116,49,4468,2,49,1.19
117,21,4948,19,38,3.34
118,47,1443,19,7,2.33
119,54,3909,4,41,10.53
120,40,1281,4,47,3.02
121,32,655,11,44,11.72
122,46,1094,5,30,4.37
123,53,1584,20,59,2.59
124,30,2158,11,27,9.58
125,49,3272,10,48,8.08
126,24,2196,8,43,6.23
127,39,4485,6,19,6.89
128,45,704,6,53,8.77
129,19,1414,8,8,3.13
130,23,1731,23,33,11.96
131,45,3640,15,26,11.71
132,45,1023,14,29,7.98
133,37,1128,11,17,2.79
134,47,333,12,22,8.32
135,28,2305,13,37,1.33
136,45,3827,8,20,0.85
137,42,4980,18,49,3.46
138,50,2052,1,46,5.82
139,18,4375,15,48,10.49
140,44,3133,8,6,8.86
141,30,3484,11,59,9.04
142,20,4498,12,39,5.39
143,23,3011,12,46,4.48
144,25,1450,4,38,4.77
145,44,3712,16,34,11.86
146,26,1456,4,59,0.96
147,54,3576,5,17,10.47
148,50,3686,24,17,7.15
149,41,3784,5,22,5.54
150,32,1596,8,36,8.84
151,49,3837,10,36,6.1
152,49,3530,17,39,10.54
153,41,2903,9,43,10.86
154,29,670,22,50,5.35
