customer_id,age,monthly_spend,visits_per_month,avg_discount_used,distance_from_store_km,segment
1,46,1887,23,58,6.12,3
2,32,2131,10,38,9.36,0
3,25,3946,12,59,8.36,0
4,38,2627,2,51,5.63,0
5,36,1768,13,28,3.65,2
6,40,4200,8,58,11.97,0
7,28,2938,2,26,5.4,1
8,28,3698,20,9,5.69,3
9,41,4113,1,37,2.38,1
10,53,1266,5,40,9.64,1
11,41,4580,9,51,8.48,3
12,20,2644,17,24,3.04,0
13,39,4307,9,23,1.45,1
14,19,3573,11,39,8.33,0
15,41,4169,15,56,8.03,3
16,47,2746,24,47,3.64,3
17,19,953,6,21,11.43,0
18,38,2282,23,49,2.24,3
19,50,2974,3,47,5.47,1
20,29,3096,17,38,11.35,0
21,39,4385,5,13,5.33,1
22,42,975,12,30,7.84,2
23,44,1825,18,6,5.07,2
24,45,3269,14,57,3.65,3
25,33,617,21,13,11.82,2
26,32,314,24,13,5.21,2
27,20,816,11,44,10.78,0
28,54,4174,9,21,3.14,1
29,24,3467,2,5,2.95,1
30,38,1025,12,29,0.86,2
31,26,1716,3,47,7.99,0
32,35,3346,3,44,4.74,1
33,21,612,1,46,10.44,0
34,42,928,8,29,5.94,2
35,31,3548,22,43,11.63,3
36,26,3008,8,39,2.63,0
37,43,875,11,7,10.49,2
38,19,3665,9,54,9.43,0
39,37,2704,5,41,9.37,0
40,45,3167,14,48,10.22,3
41,24,2986,3,48,9.25,0
42,25,1322,21,55,7.7,0
43,52,4279,5,34,2.01,1
44,31,1771,5,42,0.87,0
45,34,2343,19,38,11.09,2
46,53,1887,14,16,7.59,2
47,21,4332,4,23,9.66,0
48,19,4051,13,41,6.04,0
49,23,3640,10,48,1.85,0
50,21,3966,18,53,1.94,3
51,46,2526,8,21,8.38,1
52,35,3114,8,14,5.45,1
53,43,4152,7,59,2.81,3
54,51,795,8,53,6.15,2
55,27,928,14,51,1.24,0
56,53,1565,19,16,7.19,2
57,31,4692,6,20,3.59,1
58,48,898,1,28,9.67,1
59,32,595,23,23,4.07,2
60,25,4371,15,12,5.74,3
61,31,4560,1,35,0.63,1
62,40,2702,17,25,1.33,3
63,38,2019,1,21,5.01,1
64,33,917,15,27,6.02,2
65,35,2982,23,41,7.4,3
66,41,3777,2,58,3.85,1
67,43,343,14,20,8.49,2
68,42,3340,21,10,10.39,2
69,46,4691,8,12,9.47,1
70,32,3138,8,29,0.96,1
71,18,3836,19,22,6.03,0
72,42,3422,7,29,1.71,1
73,24,1367,19,16,3.28,2
74,26,2816,6,19,11.85,0
75,41,1262,6,30,2.14,1
76,18,2356,3,45,6.24,0
77,25,3182,7,49,7.61,0
78,41,3494,19,30,8.58,3
79,28,4929,8,51,6.94,0
80,34,1356,10,36,0.61,0
81,25,932,20,14,4.25,2
82,52,4530,15,20,6.45,3
83,52,1153,15,11,1.51,2
84,50,2739,1,21,4.53,1
85,22,3524,20,27,0.88,3
86,45,3501,7,30,1.4,1
87,24,1742,4,25,5.06,0
88,26,1391,6,26,2.03,0
89,25,3193,1,11,7.03,1
90,29,2881,5,18,8.43,1
91,51,1417,23,19,9.71,2
92,50,1740,1,57,2.8,1
93,40,3436,4,11,2.43,1
94,41,2586,22,13,1.7,3
95,54,3919,2,55,7.82,1
96,52,1588,10,52,8.62,2
97,39,2056,5,12,0.86,1
98,44,1565,10,54,11.27,0
99,52,699,1,27,1.1,1
100,18,1880,22,33,6.72,2
101,52,710,6,22,8.65,2
102,54,4512,13,35,10.52,3
103,31,1524,15,34,8.71,2
104,20,1355,4,56,9.72,0
105,18,2027,13,43,4.4,0
106,22,3341,24,39,9.87,0
107,43,3686,20,22,1.42,3
108,31,2010,24,46,10.79,2
109,44,3123,15,43,6.8,3
110,26,2414,8,21,9.9,0
111,32,4386,5,18,5.7,1
112,32,913,15,35,7.9,2
113,43,3802,4,28,6.55,1
114,30,4334,12,39,8.91,0
115,49,3722,13,48,1.44,3
116,49,4468,2,49,1.19,1
117,21,4948,19,38,3.34,3
118,47,1443,19,7,2.33,2
119,54,3909,4,41,10.53,1
120,40,1281,4,47,3.02,0
121,32,655,11,44,11.72,0
122,46,1094,5,30,4.37,1
123,53,1584,20,59,2.59,3
124,30,2158,11,27,9.58,0
125,49,3272,10,48,8.08,3
126,24,2196,8,43,6.23,0
127,39,4485,6,19,6.89,1
128,45,704,6,53,8.77,0
129,19,1414,8,8,3.13,0
130,23,1731,23,33,11.96,2
131,45,3640,15,26,11.71,3
132,45,1023,14,29,7.98,2
133,37,1128,11,17,2.79,2
134,47,333,12,22,8.32,2
135,28,2305,13,37,1.33,0
136,45,3827,8,20,0.85,1
137,42,4980,18,49,3.46,3
138,50,2052,1,46,5.82,1
139,18,4375,15,48,10.49,0
140,44,3133,8,6,8.86,1
141,30,3484,11,59,9.04,0
142,20,4498,12,39,5.39,0
143,23,3011,12,46,4.48,0
144,25,1450,4,38,4.77,0
145,44,3712,16,34,11.86,3
146,26,1456,4,59,0.96,0
147,54,3576,5,17,10.47,1
148,50,3686,24,17,7.15,3
149,41,3784,5,22,5.54,1
150,32,1596,8,36,8.84,0
151,49,3837,10,36,6.1,1
152,49,3530,17,39,10.54,3
153,41,2903,9,43,10.86,0
154,29,670,22,50,5.35,2
155,19,1553,19,56,3.68,0
156,20,2983,14,33,7.31,0
157,54,3031,8,53,10.99,1
158,34,557,9,33,2.92,2
159,19,3219,22,57,7.66,0
160,19,867,11,48,7.76,0
161,45,4668,23,20,8.93,3
162,40,1345,1,48,2.01,1
163,54,4385,14,51,8.73,3
164,49,3919,5,14,10.95,1
165,50,2945,21,34,2.57,3
166,18,739,14,29,3.23,0
167,36,2979,4,43,11.67,0
168,19,4336,22,24,2.58,3
169,43,3975,23,9,10.33,3
170,49,2708,1,5,6.16,1
171,23,2979,22,34,3.34,3
172,49,1124,23,53,10.51,2
173,21,3156,19,7,5.62,2
174,28,1781,8,49,6.42,0
175,34,3524,15,18,4.63,3
176,41,4685,21,34,7.32,3
177,22,455,15,54,2.38,0
178,51,2038,9,8,5.0,1
179,23,2144,21,22,11.65,2
180,39,209,9,41,3.47,2
181,28,3071,10,29,8.05,0
182,33,997,20,52,4.24,2
183,50,1215,21,5,9.39,2
184,26,2024,9,57,2.01,0
185,23,4669,3,50,11.65,0
186,33,3336,20,19,5.72,3
187,46,2393,11,13,3.21,1
188,20,423,6,19,1.35,0
189,37,4358,2,53,2.45,1
190,53,4125,7,28,6.48,1
191,36,4984,18,8,4.38,3
192,43,4200,2,16,10.03,1
193,20,1833,17,41,5.46,0
194,36,2352,11,41,3.36,0
195,37,710,12,47,7.6,2
196,49,584,19,10,8.63,2
197,24,604,22,43,2.42,2
198,50,4813,24,50,2.43,3
199,35,4771,7,28,0.92,1
200,18,2200,20,15,8.97,2
201,28,2956,6,17,8.13,1
202,45,1868,21,38,5.96,2
203,42,1660,24,29,10.21,2
204,40,3836,1,11,9.77,1
205,48,2924,17,56,7.23,3
206,47,4378,11,8,10.49,1
207,52,2248,22,12,2.87,3
208,24,4346,18,24,1.79,3
209,33,4980,21,33,3.6,3
210,43,916,17,58,1.16,2
211,19,4744,7,57,6.61,0
212,18,4783,17,55,11.27,0
213,29,2023,20,49,0.95,3
214,22,2281,9,50,1.9,0
215,54,3619,17,14,5.7,3
216,49,1774,20,47,11.24,2
217,26,449,22,38,4.14,2
218,52,873,22,30,6.33,2
219,36,4733,8,45,0.98,3
220,33,2365,17,53,2.21,3
221,20,970,7,7,11.85,0
222,37,4162,1,10,11.6,1
223,41,4563,13,9,0.56,1
224,50,2184,23,9,11.45,2
225,41,1277,19,58,7.85,2
226,28,435,24,51,10.48,2
227,25,588,19,27,5.73,2
228,53,3237,17,53,6.43,3
229,37,2048,13,13,6.12,2
230,52,4919,16,39,8.17,3
231,42,3014,8,24,2.11,1
232,52,3574,19,53,0.84,3
233,42,3478,18,46,4.04,3
234,46,1452,1,39,8.6,1
235,35,4181,14,54,2.82,3
236,35,4873,19,22,8.24,3
237,19,2322,15,21,11.65,0
238,52,4730,18,28,1.58,3
239,33,2350,2,7,8.23,1
240,53,1529,22,36,5.6,2
241,50,1558,17,39,10.48,2
242,21,2682,18,42,2.54,0
243,50,4742,6,17,8.47,1
244,31,2217,19,51,10.14,0
245,38,1531,4,29,11.36,0
246,37,4544,1,13,8.36,1
247,25,4461,8,8,6.22,1
248,24,1558,23,18,7.61,2
249,20,4837,7,41,10.49,0
250,34,3377,3,38,7.06,1
251,50,2328,10,15,0.85,1
252,29,2380,10,45,11.21,0
253,39,337,19,7,8.43,2
254,39,3672,14,32,8.28,3
255,47,3032,2,33,2.98,1
256,25,3779,1,13,8.08,1
257,44,3231,23,7,5.03,3
258,44,4364,23,29,7.99,3
259,51,2793,18,38,1.73,3
260,38,4500,7,16,8.07,1
261,47,4018,8,46,11.99,1
262,50,4338,1,13,1.05,1
263,45,4023,23,19,11.74,3
264,50,4242,3,44,5.18,1
265,22,2106,24,29,10.51,2
266,36,960,23,9,9.5,2
267,21,3645,8,15,7.02,0
268,52,1099,22,38,8.99,2
269,34,4655,15,28,10.6,3
270,45,3147,5,19,5.15,1
271,47,1919,3,42,4.26,1
272,46,480,19,12,8.18,2
273,23,3466,1,9,9.79,1
274,52,2087,15,52,9.27,2
275,54,3466,8,30,9.67,1
276,41,866,2,22,5.51,1
277,46,4388,3,10,9.91,1
278,48,871,24,41,1.88,2
279,52,2169,14,52,6.76,3
280,50,4356,24,17,0.57,3
281,38,3322,14,32,4.23,3
282,49,4899,11,9,4.71,1
283,40,4977,16,17,5.06,3
284,50,4100,4,21,8.5,1
285,20,723,20,54,4.97,0
286,35,2593,5,44,5.66,0
287,42,3317,22,49,3.23,3
288,48,2793,21,36,4.79,3
289,20,2168,14,33,3.11,0
290,41,1953,23,55,1.34,3
291,49,2496,16,7,7.44,2
292,39,2461,18,44,8.18,2
293,40,2486,7,38,7.62,1
294,19,4402,10,44,5.83,0
295,44,3078,7,31,4.87,1
296,19,4343,1,17,10.43,0
297,43,3844,23,49,6.47,3
298,34,4632,21,37,6.01,3
299,50,2255,19,10,0.79,3
300,26,4920,16,28,4.42,3
301,46,1476,19,23,4.87,2
302,43,2966,4,20,5.09,1
303,52,502,18,44,7.17,2
304,42,838,2,32,6.64,1
305,41,255,1,37,7.49,0
306,30,725,15,52,9.3,0
307,24,4769,5,45,9.85,0
308,53,4323,20,17,8.76,3
309,37,2325,11,47,11.49,0
310,18,3487,10,49,0.71,0
311,25,564,2,29,2.75,0
312,33,4821,3,57,0.59,1
313,31,1846,23,46,7.95,2
314,29,1118,23,40,10.83,2
315,40,2997,12,31,3.3,3
316,32,1731,20,42,11.16,2
317,45,3545,5,11,1.19,1
318,51,2106,5,9,11.25,1
319,19,3286,6,47,4.54,0
320,49,4780,9,49,1.67,3
321,40,2275,2,55,6.09,0
322,39,913,21,35,3.45,2
323,42,1262,12,27,3.78,2
324,39,2176,3,46,4.03,1
325,39,1496,20,14,9.73,2
326,23,325,22,36,6.7,2
327,32,4832,12,47,4.08,3
328,54,3796,24,57,7.52,3
329,50,3483,17,34,8.74,3
330,25,1803,10,43,3.64,0
331,22,266,24,35,5.26,2
332,21,432,14,22,1.9,2
333,23,2356,23,40,2.58,3
334,49,1369,17,6,8.33,2
335,47,2358,18,18,2.59,3
336,52,4406,19,17,6.54,3
337,33,1693,17,33,8.65,2
338,30,4918,14,16,1.73,3
339,47,4207,9,43,7.02,1
340,36,2672,8,6,3.45,1
341,34,2860,2,36,11.57,0
342,36,2939,13,17,6.06,1
343,45,1961,7,50,9.77,0
344,43,3714,9,31,6.83,1
345,54,2175,22,53,1.0,3
346,43,2562,22,45,7.78,3
347,40,1076,11,21,11.44,2
348,26,4012,14,44,7.42,0
349,29,3648,4,35,9.92,0
350,18,1512,13,38,10.67,0
351,18,1660,2,28,3.12,0
352,51,2909,23,49,2.94,3
353,49,2524,5,39,7.53,1
354,42,1933,11,52,5.23,0
355,18,1805,6,10,10.16,0
356,33,2763,18,23,10.85,2
357,22,3621,21,34,4.56,3
358,39,3717,10,11,3.22,1
359,46,2597,4,14,9.48,1
360,20,3935,9,45,3.66,0
361,29,3070,6,36,9.96,0
362,43,1360,2,38,5.37,1
363,33,442,17,32,8.18,2
364,54,2790,5,19,1.6,1
365,39,1263,6,34,7.67,0
366,46,4524,12,41,5.7,3
367,31,2795,23,33,7.25,3
368,45,1119,21,26,2.43,2
369,22,205,10,8,8.97,2
370,47,667,22,24,10.42,2
371,22,4370,21,36,2.99,3
372,29,203,6,40,1.6,0
373,33,845,8,54,0.77,0
374,43,317,2,8,7.88,1
375,43,3128,12,31,7.48,1
376,38,2751,13,21,6.79,1
377,53,4489,21,16,3.17,3
378,50,1046,7,26,5.0,1
379,47,2962,10,21,7.34,1
380,54,1341,13,14,6.21,2
381,40,2010,17,58,11.86,2
382,27,923,21,5,2.07,2
383,22,424,14,26,8.49,2
384,53,4827,2,30,5.15,1
385,51,4408,22,22,5.42,3
386,48,4854,11,54,8.75,3
387,27,2248,1,18,8.46,0
388,36,4949,19,51,11.9,3
389,49,4615,21,33,1.98,3
390,18,1773,4,16,1.7,0
391,22,2028,19,40,8.83,0
392,21,2117,21,39,7.15,0
393,33,4434,11,56,3.65,3
394,41,2226,8,16,1.41,1
395,33,3944,11,11,1.49,1
396,19,1101,4,33,10.78,0
397,45,4985,17,15,2.71,3
398,49,2239,7,37,4.22,1
399,44,209,8,10,3.11,2
400,37,460,3,51,4.58,0
